0-0-0,195,15.0,453,222,25.9,300
60-40-50,209,14.2,476,248,32.0,320
60-40-100,191,18.5,465,237,32.4,310
60-80-50,226,15.7,485,245,35.0,323
60-80-100,204,17.2,472,261,32.2,335
120-40-50,193,16.7,472,259,30.2,302
120-40-100,198,16.3,468,268,33.2,336
120-80-50,210,16.6,444,268,33.9,330
120-80-100,186,17.7,466,258,33.6,312
120-80-150,188,17.8,468,247,34.6,324
120-120-100,205,19.9,478,245,35.0,332
120-120-150,210,19.3,458,270,35.2,310
180-40-50,189,18.9,474,258,31.3,309
180-80-50,206,16.8,464,251,36.5,335
180-80-100,206,18.1,506,283,35.3,313
180-80-150,202,17.1,449,262,35.9,312
180-120-50,194,17.7,463,252,32.6,303
180-120-100,213,19.2,466,255,37.1,308
180-120-150,208,17.1,458,268,36.8,317
